Trial,N,structure_instance_num,structure,num_X_vars,g,g_level,randomize_update_seq,b_distro,b_0_is_zero,normalize_bs,error_variance,normalize_yis,uninformed_rate,g_rate,MA_R2_Adj__t_100,MA-p_value__t_100,Outliers_Dropped__t_100,Max_Y__100,Max_Corr_Y__100,Classification__t_100,MA_R2_Adj__t_250,MA-p_value__t_250,Outliers_Dropped__t_250,Max_Y__250,Max_Corr_Y__250,Classification__t_250,MA_R2_Adj__t_500,MA-p_value__t_500,Outliers_Dropped__t_500,Max_Y__500,Max_Corr_Y__500,Classification__t_500
42,100,3,Erdos-Renyi Random #1a,15,100,N,False,U-11,False,agent,1.0,False,0.1,1.0,,0.0,51.0,6.802920000000003e+212,,Invalid,,0.0,95.0,2.8281500000000018e+293,,Invalid,,0.0,,,,Invalid
43,100,14,Random k-out (k=10) #b,10,5,5,False,U-11,False,agent,2.0,False,0.1,0.05,,0.0,45.0,4.727770000000001e+185,,Invalid,,0.0,93.0,2.0035000000000012e+257,,Invalid,,0.0,,,,Invalid
44,100,3,Erdos-Renyi Random #1a,15,5,5,False,U-11,False,agent,1.0,True,0.25,0.05,0.329735,1.0,22.0,1069.39,0.34181999999999996,Not Linear,0.32525,1.0,19.0,1201.99,0.32888,Not Linear,0.358542,1.0,21.0,701.347,0.48832700000000007,Not Linear
45,100,12,Random k-out (k=3) #b,3,25,N/4,True,U01,False,no,1.0,True,0.25,0.25,0.8788889999999999,1.0,0.0,176.268,0.795822,Linear,0.8758459999999999,1.0,0.0,190.09599999999998,0.8393950000000001,Linear,0.903194,1.0,4.0,179.757,0.812204,Linear
46,100,4,Erdos-Renyi Random #1b,18,100,N,True,U-11,False,no,2.0,False,0.0,1.0,0.9488110000000001,1.0,31.0,1.83675e+52,0.525668,Linear,0.999941,1.0,46.0,4.62885e+126,0.0,Linear,,0.0,45.0,4.7926700000000026e+252,,Invalid
47,100,9,Scale-Free #2a,3,1,1,True,U-11,False,agent,1.0,False,0.25,0.01,0.992712,1.0,46.0,8.92061e+20,0.949293,Linear,1.0,1.0,48.0,5.61661e+46,0.9983129999999999,Invalid,1.0,1.0,49.0,4.2699000000000007e+92,0.0,Invalid
48,500,3,Erdos-Renyi Random #1a,38,5,5,True,U-11,False,agent,1.0,True,0.0,0.01,0.33368400000000004,1.0,24.0,27219.3,0.358298,Not Linear,0.5245479999999999,1.0,21.0,26211.8,0.376338,Linear,0.5169739999999999,1.0,22.0,18092.8,0.276575,Linear
49,100,11,Random k-out (k=3) #a,3,25,N/4,False,N01,True,agent,1.0,True,0.1,0.25,0.305629,1.0,26.0,639.979,0.407537,Not Linear,0.19536099999999998,1.0,19.0,765.029,0.41668999999999995,Not Linear,0.294165,1.0,25.0,546.513,0.591781,Not Linear
50,100,2,Directed Random Tree (Reversed),1,100,N,False,N01,True,agent,2.0,False,0.1,1.0,0.9998950000000001,1.0,1.0,4370.63,0.999956,Linear,0.9999620000000001,1.0,0.0,7763.73,0.999977,Linear,0.99998,1.0,0.0,13104.5,0.9999889999999999,Linear
51,100,9,Scale-Free #2a,3,5,5,False,N01,True,no,2.0,False,0.0,0.05,0.787974,1.0,49.0,371.63199999999995,0.754034,Linear,0.999994,1.0,46.0,5582950000.0,-0.021802099999999998,Linear,1.0,1.0,46.0,1.64765e+17,0.182064,Invalid
