Trial,N,structure_instance_num,g,randomize_update_seq,b_distro,b_0_is_zero,normalize_bs,error_variance,normalize_yis,uninformed_rate
161,500,5,1,True,U-11,True,network,1,False,0.1
162,500,8,5,True,U01,True,agent,1,True,0.1
163,1000,3,250.0,True,U01,True,network,1,True,0.1
164,1000,11,250.0,True,U01,True,agent,0.5,False,0.1
165,500,6,5,False,U01,True,network,0.5,False,0.1
166,500,10,5,False,U01,True,network,1,True,0.25
167,500,7,125.0,False,U01,True,agent,1,True,0.1
168,500,10,125.0,False,U01,True,agent,1,False,0.1
169,1000,4,1,True,U-11,True,network,1,False,0.25
170,1000,12,1,True,U-11,True,agent,1,True,0.1
171,1000,1,250.0,True,U-11,True,agent,0.5,True,0.1
172,1000,12,250.0,True,U-11,True,agent,1,False,0
173,1000,3,5,False,N01,True,network,1,False,0
174,1000,11,1,False,N01,True,network,0.5,True,0.25
175,1000,6,1000,False,U-11,True,agent,1,True,0
176,500,12,125.0,False,U-11,True,agent,1,False,0.25
177,1000,4,5,True,U01,False,agent,1,False,0.1
178,1000,13,1,True,U01,False,agent,0.5,True,0.1
179,1000,6,250.0,True,U01,False,network,0.5,True,0.25
180,500,14,500,True,U01,False,agent,1,False,0
181,1000,1,5,False,U01,False,network,1,False,0
182,1000,11,5,False,U-11,False,network,1,True,0.1
183,500,4,500,False,U01,False,agent,0.5,True,0
184,500,8,125.0,False,U-11,False,network,0.5,False,0.25
185,500,4,5,True,U-11,False,agent,0.5,False,0.25
186,1000,10,5,True,U-11,False,network,0.5,True,0
187,500,4,125.0,True,N01,False,agent,0.5,True,0.25
188,1000,11,250.0,True,N01,False,agent,0.5,False,0
189,1000,2,1,False,U-11,False,agent,1,False,0.1
190,1000,12,1,False,N01,False,network,0.5,True,0.1
191,1000,1,1000,False,N01,False,network,1,True,0.1
192,1000,14,1000,False,N01,False,agent,0.5,False,0.25
193,1000,6,5,True,U-11,True,no,2,False,0.25
194,500,13,5,True,U01,True,no,2,True,0
195,1000,5,250.0,True,U01,True,no,2,True,0.25
196,500,11,500,True,U-11,True,no,2,False,0
197,1000,3,5,False,U-11,True,agent,2,False,0
198,1000,13,5,False,U-11,True,no,1,True,0.1
199,1000,4,250.0,False,U01,True,agent,2,True,0
200,1000,12,1000,False,U01,True,agent,1,False,0.1
201,1000,1,5,True,N01,True,no,1,False,0.25
202,1000,12,5,True,N01,True,agent,1,True,0.1
203,500,7,500,True,N01,True,agent,2,True,0.1
204,500,9,500,True,N01,True,agent,2,False,0
205,500,3,5,False,U-11,True,agent,1,False,0.1
206,1000,9,1,False,N01,True,agent,2,True,0.1
207,1000,7,1000,False,U-11,True,agent,2,True,0
208,500,13,125.0,False,N01,True,no,2,False,0.25
209,500,6,5,True,U-11,False,agent,1,False,0.1
210,500,8,1,True,U-11,False,agent,2,False,0.1
211,1000,7,250.0,True,U-11,False,no,2,False,0.1
212,500,13,125.0,True,U01,False,no,2,False,0
213,500,2,5,False,U01,False,no,2,False,0
214,1000,9,5,False,U-11,False,no,2,True,0.1
215,500,5,500,False,U-11,False,agent,2,True,0.1
216,500,9,125.0,False,U-11,False,agent,2,False,0.1
217,500,5,5,True,U-11,False,no,1,False,0.1
218,500,10,5,True,U-11,False,no,1,True,0.1
219,500,3,125.0,True,N01,False,no,1,True,0.25
220,1000,9,250.0,True,U-11,False,agent,1,False,0.1
221,1000,7,5,False,U-11,False,no,2,False,0.1
222,500,14,5,False,N01,False,agent,2,True,0.25
223,500,5,125.0,False,U-11,False,no,1,True,0.1
224,500,9,500,False,U-11,False,no,1,False,0.25
225,1000,2,5,True,U-11,True,agent,2,False,0.25
226,1000,13,5,True,U-11,True,agent,1,True,0
227,500,4,500,True,U01,True,agent,2,True,0.1
228,1000,8,1000,True,U01,True,network,1,False,0
229,500,3,1,False,U01,True,network,2,False,0.1
230,1000,8,1,False,U01,True,agent,2,True,0.1
231,1000,1,250.0,False,U-11,True,agent,1,True,0
232,1000,13,250.0,False,U-11,True,agent,1,False,0.25
233,500,5,1,True,N01,True,agent,2,False,0.1
234,500,10,5,True,N01,True,agent,1,True,0
235,1000,1,250.0,True,N01,True,network,1,True,0.25
236,1000,4,5,False,N01,True,agent,2,False,0
237,1000,13,5,False,U-11,True,network,2,True,0.25
238,500,5,125.0,False,N01,True,agent,1,True,0.1
239,500,10,500,False,N01,True,agent,1,False,0.1
240,1000,7,5,True,U01,False,agent,1,False,0.1
241,500,12,5,True,U01,False,network,1,True,0
242,500,5,125.0,True,U01,False,network,2,True,0.1
243,500,8,500,True,U01,False,agent,1,False,0.1
244,500,6,1,False,U-11,False,agent,2,False,0.1
245,500,9,5,False,U01,False,agent,2,True,0.1
246,500,1,125.0,False,U-11,False,network,1,True,0
247,1000,8,250.0,False,U-11,False,network,2,False,0.1
248,500,6,5,True,N01,False,network,1,False,0.25
249,500,10,1,True,U-11,False,network,2,True,0
250,1000,5,250.0,True,U-11,False,network,1,True,0.25
251,500,13,125.0,True,U-11,False,network,1,False,0
252,1000,2,1,False,U-11,False,agent,1,False,0
253,1000,13,1,False,U-11,False,network,2,True,0.1
254,1000,3,1000,False,U-11,False,agent,2,True,0.1
255,1000,12,1000,False,N01,False,network,1,False,0.1
